fid,bin,bbl,gr_area,bldg_area,prop_gr,cnstrct_yr,doitt_id,heightroof,feat_code,groundelev,qa,notes,classified,digitized,newlyadded,original_source,address,borough,ownertype,zonedist1,spdist1,bbl_fixed,xcoord,ycoord
79,1008863,1005510122,425.4485,1044.25049,0.40742,1899,272401,31.04,2100,23,Good,,1,0,0,classification,7 MAC DOUGAL ALLEY,MN,,R6,LC,0,-73.99785,40.73253
80,1088152,1018337507,7073.72978,15968.65366,0.44298,2007,1108313,161.5722,2100,84,Good,,1,0,0,classification,805 COLUMBUS AVENUE,MN,,R7-2,,0,-73.96568,40.79494
81,5106799,5004870100,1019.84517,13084.49875,0.07794,1931,724887,24.94,2100,13,Good,,0,1,0,DPR,355 FRONT STREET,SI,C,C4-2A,SW,0,-74.07463,40.63678
82,1088574,1010637503,1589.30071,22597.72723,0.07033,2008,1110773,113.26183,2100,40,Good,,1,0,0,classification,800 10 AVENUE,MN,,C6-2,CL,0,-73.98978,40.76676
83,1037550,1013167501,1854.07615,26198.24423,0.07077,0,278642,249.47,2100,40,Good,,1,0,0,classification,205 EAST 42 STREET,MN,,C5-3,MID,1,-73.97365,40.75062
84,1008674,1005390019,135.21099,1779.20849,0.076,1910,142310,49.68,2100,26,Good,,1,0,0,classification,82 WEST 3 STREET,MN,P,R7-2,,0,-73.99899,40.72966
85,1079025,1003160200,612.94912,1669.81243,0.36708,1910,313654,62.91,2100,7,Good,,1,0,0,classification,GRAND STREET,MN,C,PARK,,0,-73.97615,40.71279
86,1008451,1005290062,244.6051,5946.03139,0.04114,1900,817730,86.79,2100,42,Good,,1,0,0,classification,43 BLEECKER STREET,MN,,M1-5B,,0,-73.99419,40.7259
87,1040155,1013640022,975.26256,27743.43838,0.03515,1931,662448,355.1595,2100,28,Good,a lower level/courtyard area,1,0,0,classification,435 EAST 52 STREET,MN,,R10,,0,-73.96303,40.75462
88,1009807,1005830049,202.51842,1626.06167,0.12455,1901,667960,44.26,2100,18,Good,,1,0,0,classification,12 ST LUKES PLACE,MN,,R6,,0,-74.00572,40.73024
89,1000824,1000250019,1886.28023,24267.39459,0.07773,1900,487361,299.41,2100,9,Good,,1,1,0,Visual - pre-classification,25 BROAD STREET,MN,P,C5-5,LM,0,-74.01086,40.70604
90,2124472,2025050003,1380.32478,6938.30492,0.19894,2011,1256073,83.12288,2100,87,Good,,1,0,0,greenroofs.com,1070 ANDERSON AVENUE,BX,P,R7-1,,0,-73.92575,40.83384
91,1089395,1007000009,3798.17257,66508.0961,0.05711,2013,1263427,328.63697,2100,10,Good,,1,0,0,classification,539 WEST 28 STREET,MN,,C6-3,WCH,0,-74.00349,40.75177
92,1088469,1000580001,788.40888,52632.87752,0.01498,2009,1114961,1408.3779,5100,5,Good,,1,0,0,classification,185 GREENWICH STREET,MN,O,C6-4,LM,0,-74.0128,40.71256
93,1089707,1000560015,4603.87873,23032.8543,0.19988,0,1257095,53.28397,5100,5,Good,,1,0,0,classification,148 WASHINGTON STREET,MN,P,C6-9,LM,0,-74.01389,40.71042
